Label,GENOTYPE,MARKER,Period,Amplitude,Phase,RAE
WT LHY,WT,LHY,23.35294449786434,0.1328011622130401,3.775683861361864,0.21153460359433146
WT LHY,WT,LHY,24.76095203744442,0.11739838739812518,3.7404646576762213,0.20006521714332437
WT LHY,WT,LHY,24.190777442169704,0.12185849804319931,4.35508514448912,0.17310742379163643
WT LHY,WT,LHY,24.554963148103273,0.13384733847406585,4.112909790846482,0.2352340784257207
WT LHY,WT,LHY,25.097127961851562,0.12568900376028025,4.739131258320455,0.17553411105700856
WT LHY,WT,LHY,25.62433355661177,0.1528601626159934,5.478945360148765,0.1588451950159723
WT LHY,WT,LHY,24.921899422451794,0.13111469176145094,1.4040509597310633,0.2786515367340828
WT LHY,WT,LHY,24.717718601326663,0.11942665613413904,3.328336281239605,0.14913481332772233
WT PRR5,WT,PRR5,24.440247204511085,0.16624552318236877,8.922231914605566,0.27186102479290863
WT PRR5,WT,PRR5,25.215154153686818,0.16462823598681445,8.922649904178295,0.2761412298558007
WT PRR5,WT,PRR5,24.815453586925283,0.16573527464274432,9.566099669300952,0.2701906522603604
WT PRR5,WT,PRR5,24.176319974072342,0.17214763679287395,12.231146575667918,0.25609261531663863
WT PRR5,WT,PRR5,22.9498507866708,0.16649671200991267,9.239391901494267,0.2690202572885209
WT PRR5,WT,PRR5,23.952036876940117,0.16204889907851838,10.55703575998355,0.28781044027035574
WT PRR5,WT,PRR5,25.105447314174217,0.17427848493245976,8.999191319537548,0.32620862862062955
WT PRR5,WT,PRR5,25.07198004418851,0.15543536482947876,10.248648431863856,0.27655179831833276
WT TOC1,WT,TOC1,25.34806618621268,0.16935323439253758,20.297485393420505,0.15765610296466717
WT TOC1,WT,TOC1,23.787965136455096,0.19638353572083667,15.548859809161556,0.16309487594165833
WT TOC1,WT,TOC1,23.26170506492111,0.19072981164321143,21.422496925362953,0.18424063895907652
WT TOC1,WT,TOC1,24.29268125962873,0.18710289905806232,12.88241993956164,0.17668703925445586
WT TOC1,WT,TOC1,24.49089097535283,0.17805097930080743,15.852875518864357,0.16039844314673557
WT TOC1,WT,TOC1,24.172730797646288,0.16594700449677388,12.153581803472997,0.1590827803532661
WT TOC1,WT,TOC1,24.32500661297071,0.15515784983292447,15.278943823333249,0.2133146478246462
WT TOC1,WT,TOC1,23.723172268609293,0.21543694338712338,15.092424720056837,0.17870013081665703
prr79 LHY,prr79,LHY,31.99133788144344,0.10186910474697217,2.8822672059847294,0.1377656701752794
prr79 LHY,prr79,LHY,32.581265695409535,0.13505047743413023,3.5893685739231493,0.11702666857879102
prr79 LHY,prr79,LHY,28.711063389870702,0.08438231491274997,3.9820361615306936,0.17012418807119045
prr79 LHY,prr79,LHY,32.4936632050779,0.13931633005537644,4.900559264203036,0.16052158875136216
prr79 LHY,prr79,LHY,30.513374742184165,0.12676299271896965,7.139148035826663,0.11982282907835001
prr79 LHY,prr79,LHY,29.66499655826084,0.13592055706796657,4.665187987180062,0.15016024891462262
prr79 LHY,prr79,LHY,32.47999744582219,0.13436817702696638,4.0467642332902765,0.13637769776823006
prr79 LHY,prr79,LHY,30.738437603810148,0.10601417837295178,4.992337897192133,0.11586368313255127
prr79 PRR5,prr79,PRR5,30.08400706848571,0.16075901779481058,8.030077085224274,0.16839265382530239
prr79 PRR5,prr79,PRR5,29.186326041791443,0.12315948022142029,6.03785864331733,0.199409434391826
prr79 PRR5,prr79,PRR5,30.504918727721577,0.16621974982480273,7.595330145911767,0.1624837120677235
prr79 PRR5,prr79,PRR5,30.898387438062564,0.1530441577366109,6.5353441495693225,0.1536034456022756
prr79 PRR5,prr79,PRR5,30.313963802514255,0.1821390156862539,7.84638984893791,0.1395938567937012
prr79 PRR5,prr79,PRR5,30.30661114162005,0.15092051863774697,7.367528108689882,0.1002669160314742
prr79 PRR5,prr79,PRR5,30.948668471092493,0.14235193962833556,6.9779454421508715,0.18231427462301236
prr79 PRR5,prr79,PRR5,30.527448817733983,0.13738659222873514,6.025397755747316,0.12773357803159247
prr79 TOC1,prr79,TOC1,28.38991413682657,0.21336157528143895,14.248126157010226,0.12428762868506703
prr79 TOC1,prr79,TOC1,29.398845114159283,0.1970688837787275,14.002506317380035,0.13563034383554431
prr79 TOC1,prr79,TOC1,31.19000416734951,0.18398880933689798,14.349114207023325,0.09152238786275509
prr79 TOC1,prr79,TOC1,29.69923871141928,0.19014281836278046,13.9482833091139,0.10704677866605049
prr79 TOC1,prr79,TOC1,29.13562037752505,0.21411173593167057,13.912971539017859,0.17097091834748498
prr79 TOC1,prr79,TOC1,30.153198337647844,0.18636171449552988,13.710704065900142,0.09839257798491884
prr79 TOC1,prr79,TOC1,29.010884510514348,0.20377519418360582,13.737351039788805,0.09972190275430398
prr79 TOC1,prr79,TOC1,32.160166143176106,0.1941815454587453,13.236471103687524,0.13824613942074024
elf4 LHY,elf4,LHY,22.947164644469076,0.08715481003639668,3.2463657109272783,0.1341031030705151
elf4 LHY,elf4,LHY,25.16607555005843,0.06912923433792,2.937272668284741,0.05426559983882734
elf4 LHY,elf4,LHY,21.909891467618863,0.09097291591623535,2.5998033943130188,0.3289732484003145
elf4 LHY,elf4,LHY,22.97589878827188,0.08321505690800307,3.034892589550509,0.22211103242742375
elf4 LHY,elf4,LHY,24.82305422395511,0.08915626920319651,2.7168923532329274,0.1001479733129696
elf4 LHY,elf4,LHY,22.278673459522125,0.10366780958609141,4.685566640100608,0.30967411365644953
elf4 LHY,elf4,LHY,22.895848005641597,0.06735194257607187,1.7495980400617774,0.17210971590110774
