Label,GENOTYPE,MARKER,Period,Amplitude,Phase,RAE
prr79 PRR5,prr79,PRR5,28.236206792141605,0.0993457474584367,7.262096178232742,0.18001523409170841
prr79 PRR5,prr79,PRR5,28.16763576941308,0.10540233758698134,6.690470985297867,0.16062784393598964
prr79 PRR5,prr79,PRR5,27.61641418592029,0.11690793539009423,7.59798188375172,0.1481460885985847
prr79 PRR5,prr79,PRR5,28.554407309755625,0.12722295283006702,6.317319481589239,0.13574569200963446
prr79 PRR5,prr79,PRR5,27.34418544773365,0.1575523447869882,6.515004148392605,0.1699550637456812
prr79 PRR5,prr79,PRR5,25.5316562364955,0.08309485335798786,8.011311641788314,0.20951450220330287
prr79 TOC1,prr79,TOC1,27.861603231471456,0.15505816684110735,14.179419536192082,0.11644936874441802
prr79 TOC1,prr79,TOC1,28.155083610457382,0.13539233438333673,13.90348220450304,0.10324437960353332
prr79 TOC1,prr79,TOC1,28.320590728742783,0.15922044025125148,12.913134605323778,0.10323868184148503
prr79 TOC1,prr79,TOC1,26.3284479906175,0.1271235493290445,14.118880413857836,0.06877599633956259
prr79 TOC1,prr79,TOC1,27.291527789980798,0.12991831774865847,13.099996913861709,0.13839946809023124
prr79 TOC1,prr79,TOC1,30.547611573311283,0.15734616189225467,13.513185559549182,0.11367285270876064
prr79 TOC1,prr79,TOC1,28.087906126338893,0.1353656611206493,13.886296744065701,0.18104594778678793
prr79 TOC1,prr79,TOC1,27.535417776777972,0.12094220109270572,13.360799272642211,0.08963176654126889
elf4 LHY,elf4,LHY,16.410224403417043,0.06970384423892229,2.1050861007227915,0.7578788563070402
elf4 LHY,elf4,LHY,20.93125416595981,0.07785459041590224,0.939850828223054,0.4198677891788151
elf4 LHY,elf4,LHY,17.27289181622126,0.05904922585499388,1.7847036061049106,0.5706657917585267
elf4 LHY,elf4,LHY,19.970730787314572,0.0674239792262049,1.699367353518141,0.38213553170099945
elf4 LHY,elf4,LHY,17.664210424980187,0.06475325883436917,2.6660418376648116,0.4652073570747716
elf4 LHY,elf4,LHY,19.882787735537363,0.08480246154750447,2.656099056823025,0.6294870767658581
elf4 LHY,elf4,LHY,19.165759077304074,0.06778341161690676,2.95836836018265,0.49000347475326916
elf4 LHY,elf4,LHY,23.968144938804894,0.05502391465590225,2.298848305185258,0.287352101579731
elf4 PRR5,elf4,PRR5,19.630748275068097,0.06259189065823097,7.020035493822416,0.14619882211117757
elf4 PRR5,elf4,PRR5,19.503413658013663,0.04820935601898097,3.293983922113086,0.34953016545781124
elf4 PRR5,elf4,PRR5,22.914757951697602,0.06268012441465741,3.7511444578021522,0.4153407310299497
elf4 PRR5,elf4,PRR5,16.08736400389176,0.0538263456664477,5.531218039638419,0.3783047217193904
elf4 PRR5,elf4,PRR5,17.01464365694844,0.06250834601111539,6.6090139708437885,0.3860808686090038
elf4 PRR5,elf4,PRR5,19.301421490407815,0.05230992148233886,5.031997156971184,0.6458625114371592
elf4 PRR5,elf4,PRR5,21.04821520768003,0.05741653279046842,4.480129310829396,0.1773308365310982
elf4 PRR5,elf4,PRR5,21.627367763775762,0.051591704492637,8.208958007250123,0.16248063811265898
elf4 TOC1,elf4,TOC1,18.599661688781367,0.04774454215530172,7.576574316327079,0.2976560249156843
elf4 TOC1,elf4,TOC1,18.287148243203738,0.05154833074064693,6.728018392075745,0.3746254991121403
elf4 TOC1,elf4,TOC1,16.160893035005405,0.06250087203963282,7.874493316166231,0.27496675037516033
elf4 TOC1,elf4,TOC1,15.412692917321479,0.058382261438819,7.247270985298182,0.5287910535640785
elf4 TOC1,elf4,TOC1,18.098418971015704,0.05478972608711731,8.329899022916159,0.5877728988519372
elf4 TOC1,elf4,TOC1,23.146065697177825,0.05946024226508641,6.598208677329879,0.4676319961332849
elf4 TOC1,elf4,TOC1,18.109831605804043,0.07860278176497261,6.289327437095687,0.28996809092351006
elf4 TOC1,elf4,TOC1,17.043030706377223,0.061657474527663535,9.857755221007865,0.2212786278020233
